Ref,Val,Package,PosX,PosY,Rot,Side
"Buzzer1","CMT-1032-85-SMT-TR","CMT103285SMTTR",140.606085,-118.881652,180.000000,top
"C1","1μC","C_0603_1608Metric",103.330448,-109.313214,-90.000000,top
"C2","1μC","C_0603_1608Metric",132.830716,-123.913388,0.000000,top
"C3","1μC","C_0603_1608Metric",132.856092,-122.055912,180.000000,top
"C4","2.2μC","C_0603_1608Metric",136.329747,-127.912069,90.000000,top
"C5","1μC","C_0603_1608Metric",127.000000,-129.540000,90.000000,top
"D1","LED_ABGR","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",103.213778,-123.365985,90.000000,top
"J0","Conn_01x02","PinHeader_1x02_P1.00mm_Horizontal",100.240871,-109.763693,180.000000,top
"LDO1","IFX27001TFV33","TO-252-3_TabPin2",103.622258,-114.877956,180.000000,top
"LDO2","LM3480-5.0","SOT-23",133.378723,-127.715686,180.000000,top
"MCU1","ESP32-WROOM-32D","ESP32-WROOM-32",120.390000,-116.930000,0.000000,top
"Q1","Q_NMOS_DGS","SOT-23",135.086862,-110.060320,-90.000000,top
"R1","1K","R_0603_1608Metric",132.080000,-116.040000,90.000000,top
"R2","1K","R_0603_1608Metric",132.080000,-112.700000,-90.000000,top
"R3","10K %1","R_0603_1608Metric",107.435467,-123.272020,180.000000,top
"R4","10K %1","R_0603_1608Metric",107.422044,-125.111039,180.000000,top
"R5","10K %1","R_0603_1608Metric",107.428756,-121.486695,180.000000,top
"R6","1K 1%","R_0603_1608Metric",132.100135,-119.376495,90.000000,top
"R7","1K 1%","R_0603_1608Metric",129.127500,-129.540000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm",123.697167,-134.330000,180.000000,top
